listing_id,title,description,price,bedrooms,bathrooms,property_type,address,city,latitude,longitude,posting_date,furnished,lease_term,deposit_amount,payment_method_text,contact_type
82,Spacious Basement Unit,"Recently renovated, quiet neighborhood.",1626,3,3,basement,536 Main St,Toronto,43.770809,-79.418879,2025-11-08,0,month-to-month,0,cash,owner
83,Beautiful Apartment for Rent,Near subway and shopping.,3256,3,2,house,613 Main St,Toronto,43.734565,-79.481281,2025-10-15,1,1 year,500,cash,owner
84,Spacious Basement Unit,Bright unit close to transit.,1912,2,2,basement,942 Main St,Toronto,43.711089,-79.320907,2025-10-03,1,1 year,1500,e-transfer,owner
85,Affordable Room,Near subway and shopping.,2091,3,2,apartment,492 Main St,Toronto,43.719049,-79.486835,2026-01-22,1,month-to-month,1500,gift card,agent
86,Spacious Basement Unit,"Recently renovated, quiet neighborhood.",1395,0,3,apartment,380 Main St,Toronto,43.691477,-79.496928,2026-01-02,0,1 year,500,gift card,owner
87,Affordable Room,Near subway and shopping.,1573,1,2,house,575 Main St,Toronto,43.65736,-79.327471,2025-08-03,1,month-to-month,0,gift card,owner
88,Affordable Room,Ideal for students and professionals.,1806,0,3,apartment,368 Main St,Toronto,43.631897,-79.314643,2025-10-18,1,6 months,1500,gift card,agent
89,Affordable Room,Bright unit close to transit.,1905,1,3,apartment,917 Main St,Toronto,43.607314,-79.586481,2025-10-18,0,month-to-month,1000,wire,owner
90,Downtown Condo,"Recently renovated, quiet neighborhood.",2102,3,3,apartment,386 Main St,Toronto,43.767406,-79.387778,2025-08-14,0,1 year,1500,cash,agent
91,Affordable Room,Near subway and shopping.,2134,1,1,apartment,312 Main St,Toronto,43.730444,-79.435067,2025-09-04,0,6 months,1500,cash,owner
92,Downtown Condo,Ideal for students and professionals.,2439,2,1,house,407 Main St,Toronto,43.717361,-79.504281,2026-01-05,0,month-to-month,0,e-transfer,agent
93,Beautiful Apartment for Rent,Ideal for students and professionals.,2330,1,3,basement,263 Main St,Toronto,43.640257,-79.52951,2026-01-01,1,1 year,0,cash,agent
94,Spacious Basement Unit,Bright unit close to transit.,2230,4,1,basement,298 Main St,Toronto,43.782823,-79.221499,2025-10-30,1,6 months,0,cash,owner
95,Spacious Basement Unit,Near subway and shopping.,2148,0,3,basement,859 Main St,Toronto,43.727588,-79.404886,2026-01-17,0,month-to-month,1000,e-transfer,agent
96,Beautiful Apartment for Rent,Ideal for students and professionals.,1269,4,1,house,457 Main St,Toronto,43.640974,-79.569927,2025-09-07,1,1 year,1000,cash,owner
97,Beautiful Apartment for Rent,Ideal for students and professionals.,2929,2,2,house,439 Main St,Toronto,43.749223,-79.456558,2026-01-18,0,1 year,0,e-transfer,agent
98,Spacious Basement Unit,Bright unit close to transit.,3250,0,3,house,863 Main St,Toronto,43.727025,-79.34396,2025-08-11,0,1 year,0,e-transfer,agent
99,Downtown Condo,Near subway and shopping.,1901,4,3,apartment,219 Main St,Toronto,43.610047,-79.348016,2025-11-10,1,month-to-month,0,cash,owner
100,Affordable Room,Bright unit close to transit.,2187,4,1,basement,707 Main St,Toronto,43.61647,-79.557028,2026-01-25,1,6 months,1500,wire,agent
101,Spacious Basement Unit,Bright unit close to transit.,1492,1,2,house,167 Main St,Toronto,43.645053,-79.413396,2025-10-13,0,6 months,1000,cash,owner
102,Spacious Basement Unit,Ideal for students and professionals.,3266,1,1,house,532 Main St,Toronto,43.735689,-79.55052,2025-08-24,1,month-to-month,500,e-transfer,agent
103,Affordable Room,"Recently renovated, quiet neighborhood.",1616,2,2,basement,810 Main St,Toronto,43.698188,-79.346014,2026-01-28,1,1 year,1500,gift card,agent
104,Affordable Room,Ideal for students and professionals.,3063,3,3,apartment,489 Main St,Toronto,43.679351,-79.373499,2025-11-24,0,6 months,0,e-transfer,agent
105,Downtown Condo,Near subway and shopping.,2137,4,1,basement,180 Main St,Toronto,43.722768,-79.203032,2025-10-26,1,6 months,0,gift card,agent
106,Affordable Room,Bright unit close to transit.,2822,1,3,apartment,593 Main St,Toronto,43.741602,-79.247455,2025-11-24,0,6 months,500,gift card,agent
107,Beautiful Apartment for Rent,Bright unit close to transit.,2832,4,3,basement,280 Main St,Toronto,43.604727,-79.354999,2025-08-10,1,6 months,1500,wire,agent
108,Affordable Room,Bright unit close to transit.,961,3,3,apartment,922 Main St,Toronto,43.713256,-79.392275,2025-10-26,0,6 months,0,e-transfer,agent
109,Affordable Room,Bright unit close to transit.,1694,4,1,apartment,23 Main St,Toronto,43.791064,-79.486177,2025-10-09,1,month-to-month,500,wire,agent
110,Beautiful Apartment for Rent,Bright unit close to transit.,2319,1,3,house,485 Main St,Toronto,43.680712,-79.484789,2025-08-21,0,1 year,1500,e-transfer,owner
111,Affordable Room,Bright unit close to transit.,1784,1,1,apartment,648 Main St,Toronto,43.65746,-79.245972,2025-09-24,1,1 year,1500,gift card,agent
112,Affordable Room,Ideal for students and professionals.,2105,0,2,house,296 Main St,Toronto,43.601381,-79.393661,2026-01-08,0,month-to-month,500,wire,owner
113,Affordable Room,Bright unit close to transit.,1572,1,3,apartment,400 Main St,Toronto,43.726273,-79.592907,2025-10-13,1,month-to-month,1000,gift card,agent
114,Spacious Basement Unit,Near subway and shopping.,1169,0,2,house,206 Main St,Toronto,43.735549,-79.342857,2025-10-03,1,month-to-month,1000,wire,owner
115,Spacious Basement Unit,Near subway and shopping.,1349,0,2,house,281 Main St,Toronto,43.774726,-79.518849,2026-01-04,0,month-to-month,1000,wire,owner
116,Beautiful Apartment for Rent,Ideal for students and professionals.,2593,4,3,house,443 Main St,Toronto,43.615393,-79.457512,2026-01-07,0,6 months,0,gift card,owner
117,Spacious Basement Unit,"Recently renovated, quiet neighborhood.",1269,2,2,house,140 Main St,Toronto,43.613545,-79.216636,2025-12-22,1,month-to-month,1000,gift card,agent
118,Beautiful Apartment for Rent,Bright unit close to transit.,1203,2,3,house,110 Main St,Toronto,43.785082,-79.593997,2025-12-01,0,month-to-month,0,e-transfer,agent
119,Downtown Condo,"Recently renovated, quiet neighborhood.",888,2,2,apartment,399 Main St,Toronto,43.668965,-79.34402,2025-09-29,0,1 year,1000,gift card,agent
120,Spacious Basement Unit,Near subway and shopping.,2516,3,1,house,942 Main St,Toronto,43.665174,-79.22936,2025-11-04,1,6 months,1000,cash,owner
121,Affordable Room,"Recently renovated, quiet neighborhood.",2432,3,1,basement,222 Main St,Toronto,43.695858,-79.446795,2025-12-07,1,6 months,0,gift card,owner
122,Spacious Basement Unit,"Recently renovated, quiet neighborhood.",1192,0,2,basement,194 Main St,Toronto,43.796013,-79.501715,2026-01-19,1,1 year,1500,wire,owner
123,Beautiful Apartment for Rent,Bright unit close to transit.,1288,2,2,apartment,826 Main St,Toronto,43.640524,-79.574354,2025-11-08,1,month-to-month,1500,gift card,owner
124,Downtown Condo,Bright unit close to transit.,3382,3,1,basement,143 Main St,Toronto,43.622111,-79.342057,2025-10-25,0,1 year,500,wire,agent
125,Spacious Basement Unit,Near subway and shopping.,3022,2,2,basement,263 Main St,Toronto,43.62201,-79.417946,2025-11-22,0,6 months,0,cash,owner
126,Spacious Basement Unit,Ideal for students and professionals.,1935,4,1,basement,648 Main St,Toronto,43.673281,-79.25278,2025-09-29,1,6 months,1500,wire,owner
127,Spacious Basement Unit,Near subway and shopping.,2344,0,3,apartment,846 Main St,Toronto,43.782908,-79.557588,2026-01-20,1,1 year,1500,cash,agent
128,Affordable Room,Bright unit close to transit.,2508,4,1,house,679 Main St,Toronto,43.721177,-79.340746,2025-12-19,1,month-to-month,1500,cash,agent
129,Affordable Room,"Recently renovated, quiet neighborhood.",1717,4,2,house,143 Main St,Toronto,43.657428,-79.373473,2025-09-13,0,6 months,500,cash,owner
130,Spacious Basement Unit,Bright unit close to transit.,829,0,2,apartment,621 Main St,Toronto,43.70301,-79.474813,2025-11-30,1,1 year,1500,gift card,owner
131,Affordable Room,Near subway and shopping.,1187,4,2,apartment,133 Main St,Toronto,43.714391,-79.291056,2025-09-07,1,1 year,500,cash,agent
132,Downtown Condo,Bright unit close to transit.,1571,3,2,basement,328 Main St,Toronto,43.748173,-79.213078,2025-09-26,0,month-to-month,1000,e-transfer,agent
133,Beautiful Apartment for Rent,Ideal for students and professionals.,1609,0,2,basement,878 Main St,Toronto,43.741372,-79.533948,2026-01-19,0,6 months,1500,wire,owner
134,Downtown Condo,"Recently renovated, quiet neighborhood.",1799,3,2,apartment,58 Main St,Toronto,43.74965,-79.51519,2025-11-14,0,1 year,0,e-transfer,agent
135,Spacious Basement Unit,Ideal for students and professionals.,1922,2,3,house,241 Main St,Toronto,43.704174,-79.263391,2025-12-16,1,1 year,500,e-transfer,owner
136,Spacious Basement Unit,Near subway and shopping.,1659,2,3,basement,566 Main St,Toronto,43.771349,-79.457893,2025-09-07,0,month-to-month,1000,e-transfer,agent
137,Affordable Room,Bright unit close to transit.,2864,0,2,basement,544 Main St,Toronto,43.702687,-79.498917,2025-12-10,0,1 year,500,gift card,agent
138,Affordable Room,Bright unit close to transit.,968,1,1,house,434 Main St,Toronto,43.759312,-79.267593,2025-10-20,1,month-to-month,1500,e-transfer,agent
139,Affordable Room,Ideal for students and professionals.,3298,4,2,house,168 Main St,Toronto,43.669469,-79.589873,2025-09-21,0,month-to-month,1000,e-transfer,owner
140,Beautiful Apartment for Rent,"Recently renovated, quiet neighborhood.",2405,0,2,basement,416 Main St,Toronto,43.744986,-79.566839,2025-08-27,1,month-to-month,500,e-transfer,owner
141,Affordable Room,"Recently renovated, quiet neighborhood.",2887,0,3,house,497 Main St,Toronto,43.615128,-79.256753,2025-12-07,0,6 months,1500,wire,agent
142,Downtown Condo,Bright unit close to transit.,2696,3,2,apartment,44 Main St,Toronto,43.614499,-79.284339,2025-11-30,1,1 year,0,cash,agent
143,Spacious Basement Unit,Near subway and shopping.,844,0,1,apartment,641 Main St,Toronto,43.670797,-79.20227,2025-09-04,0,1 year,500,wire,agent
144,Downtown Condo,Bright unit close to transit.,2654,2,2,house,417 Main St,Toronto,43.648092,-79.445985,2025-11-21,0,6 months,1000,cash,agent
145,Downtown Condo,Ideal for students and professionals.,1027,3,2,basement,844 Main St,Toronto,43.689526,-79.353489,2025-10-09,0,6 months,0,wire,owner
146,Beautiful Apartment for Rent,"Recently renovated, quiet neighborhood.",1410,2,1,basement,996 Main St,Toronto,43.66836,-79.420274,2025-08-10,1,1 year,500,e-transfer,owner
147,Beautiful Apartment for Rent,Bright unit close to transit.,1367,4,2,house,142 Main St,Toronto,43.679589,-79.490331,2025-08-18,0,1 year,1500,cash,agent
148,Affordable Room,Bright unit close to transit.,1767,2,1,house,103 Main St,Toronto,43.796461,-79.341895,2025-10-10,0,1 year,0,cash,agent
149,Beautiful Apartment for Rent,"Recently renovated, quiet neighborhood.",1056,1,2,apartment,964 Main St,Toronto,43.778239,-79.376632,2025-10-30,0,6 months,1000,cash,agent
150,Spacious Basement Unit,Bright unit close to transit.,2820,1,2,house,847 Main St,Toronto,43.656127,-79.48876,2025-10-23,1,month-to-month,500,gift card,owner
151,Spacious Basement Unit,Near subway and shopping.,1138,4,2,house,531 Main St,Toronto,43.768494,-79.422592,2025-10-04,0,1 year,1000,e-transfer,owner
152,Affordable Room,Near subway and shopping.,992,0,2,basement,197 Main St,Toronto,43.767538,-79.465754,2025-08-16,1,1 year,500,e-transfer,owner
153,Spacious Basement Unit,"Recently renovated, quiet neighborhood.",970,2,3,basement,195 Main St,Toronto,43.63304,-79.558722,2025-12-25,1,6 months,500,gift card,owner
154,Beautiful Apartment for Rent,"Recently renovated, quiet neighborhood.",3001,3,3,house,793 Main St,Toronto,43.753548,-79.578687,2025-08-21,1,month-to-month,500,gift card,agent
155,Beautiful Apartment for Rent,Near subway and shopping.,1094,0,1,house,688 Main St,Toronto,43.72248,-79.466182,2025-08-23,0,6 months,1500,wire,agent
156,Downtown Condo,Bright unit close to transit.,2501,0,3,apartment,65 Main St,Toronto,43.628446,-79.383724,2025-08-04,0,6 months,0,wire,agent
157,Beautiful Apartment for Rent,Ideal for students and professionals.,3164,4,3,apartment,749 Main St,Toronto,43.708111,-79.477499,2025-10-20,0,6 months,0,cash,agent
158,Beautiful Apartment for Rent,Bright unit close to transit.,1074,1,2,house,22 Main St,Toronto,43.683789,-79.472482,2025-11-14,0,6 months,500,e-transfer,owner
159,Beautiful Apartment for Rent,Ideal for students and professionals.,822,2,2,house,574 Main St,Toronto,43.78094,-79.571404,2025-11-27,1,6 months,1500,wire,owner
160,Spacious Basement Unit,Bright unit close to transit.,1753,2,2,apartment,692 Main St,Toronto,43.725581,-79.274457,2025-12-13,0,month-to-month,1000,wire,owner
161,Downtown Condo,Bright unit close to transit.,3098,3,2,basement,104 Main St,Toronto,43.768318,-79.332914,2026-01-20,1,1 year,1000,wire,agent
162,Downtown Condo,Bright unit close to transit.,2226,3,1,basement,460 Main St,Toronto,43.689357,-79.53874,2026-01-21,1,month-to-month,1000,e-transfer,owner
163,Downtown Condo,Ideal for students and professionals.,2573,1,3,basement,292 Main St,Toronto,43.687827,-79.287854,2025-08-17,0,month-to-month,500,e-transfer,agent
164,Beautiful Apartment for Rent,"Recently renovated, quiet neighborhood.",3345,4,2,apartment,913 Main St,Toronto,43.647466,-79.595873,2025-08-29,0,1 year,0,e-transfer,owner
165,Beautiful Apartment for Rent,Near subway and shopping.,1365,2,2,basement,403 Main St,Toronto,43.677729,-79.394285,2026-01-07,0,1 year,1500,e-transfer,agent
166,Downtown Condo,"Recently renovated, quiet neighborhood.",3485,0,3,apartment,53 Main St,Toronto,43.663548,-79.557498,2025-09-28,0,1 year,0,e-transfer,agent
167,Downtown Condo,Bright unit close to transit.,1570,2,1,apartment,419 Main St,Toronto,43.701559,-79.224605,2025-10-14,0,1 year,0,cash,owner
168,Beautiful Apartment for Rent,"Recently renovated, quiet neighborhood.",2620,1,3,house,550 Main St,Toronto,43.648212,-79.302404,2025-12-15,1,1 year,1500,wire,owner
169,Downtown Condo,"Recently renovated, quiet neighborhood.",2483,3,1,apartment,667 Main St,Toronto,43.637075,-79.415505,2025-11-22,1,month-to-month,1500,wire,owner
170,Downtown Condo,Near subway and shopping.,2374,1,2,basement,152 Main St,Toronto,43.759194,-79.361085,2026-01-07,1,1 year,0,cash,agent
171,Spacious Basement Unit,Ideal for students and professionals.,3080,1,1,basement,792 Main St,Toronto,43.65966,-79.223421,2025-10-26,0,month-to-month,1000,cash,agent
172,Downtown Condo,"Recently renovated, quiet neighborhood.",3076,0,2,basement,267 Main St,Toronto,43.694898,-79.450706,2025-08-16,0,6 months,1000,wire,agent
173,Affordable Room,Bright unit close to transit.,2201,1,2,basement,948 Main St,Toronto,43.620987,-79.269999,2025-12-15,0,6 months,0,gift card,agent
