id,label,message
542,scam,Great price for downtown Toronto condo. Send payment to hold.
543,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
544,scam,Unit is available immediately. Deposit required before viewing.
545,scam,I am currently out of the country. You can reserve the unit by e-transfer.
546,scam,Kindly provide your full name and send payment today.
547,scam,Unit is available immediately. Deposit required before viewing.
548,scam,Kindly provide your full name and send payment today.
549,scam,Owner is traveling. Keys will be mailed after deposit.
550,scam,Many people interested. First person to send deposit gets it.
551,scam,"Hi, the apartment is still available. Please send a deposit today to secure it."
552,scam,Please reply with your email so I can send payment instructions.
