id,label,scam_type,message
94,scam,deposit_request,Pay holding fee immediately.
95,scam,no_viewing,"Viewing is not necessary, unit is ready."
96,scam,no_viewing,Viewing is not possible at this time.
97,scam,fake_company,Our company handles everything remotely.
98,scam,no_viewing,"Viewing is not necessary, unit is ready."
99,scam,gift_card_payment,Amazon gift card accepted.
100,scam,fake_company,Third-party escrow company involved.
101,scam,broken_english,I owner of apartment and want rent fast.
102,scam,wire_transfer,International transfer accepted.
103,scam,fake_company,Third-party escrow company involved.
104,scam,wire_transfer,International transfer accepted.
105,scam,gift_card_payment,Send prepaid card numbers.
106,scam,broken_english,Apartment very good and cheap.
107,scam,broken_english,I owner of apartment and want rent fast.
108,scam,unrealistic_price,2 bedroom condo only $800 all inclusive.
109,scam,no_viewing,Viewing is not possible at this time.
110,scam,gift_card_payment,Buy Apple gift cards and send codes.
111,scam,unrealistic_price,Luxury condo downtown for $700/month.
112,scam,gift_card_payment,Amazon gift card accepted.
113,scam,personal_info_harvest,Send copy of ID and SIN.
114,scam,urgency_pressure,This will be gone today.
115,scam,unrealistic_price,2 bedroom condo only $800 all inclusive.
116,scam,wire_transfer,International transfer accepted.
117,scam,unrealistic_price,Very low price if you act today.
118,scam,urgency_pressure,First come first serve.
119,scam,gift_card_payment,Payment via gift cards only.
120,scam,out_of_country_landlord,"I am working abroad, keys will be mailed."
121,scam,deposit_request,Pay holding fee immediately.
122,scam,deposit_request,Unit will be held only after deposit is received.
123,scam,urgency_pressure,Last chance to secure.
124,scam,urgency_pressure,Last chance to secure.
125,scam,deposit_request,Send first and last month now to lock it.
126,scam,unrealistic_price,Luxury condo downtown for $700/month.
127,scam,out_of_country_landlord,"Out of town right now, send payment to proceed."
128,scam,unrealistic_price,2 bedroom condo only $800 all inclusive.
129,scam,deposit_request,Please send the deposit today to secure the apartment.
130,scam,gift_card_payment,Amazon gift card accepted.
131,scam,broken_english,You trust me.
132,scam,wire_transfer,Wire transfer preferred.
133,scam,personal_info_harvest,Submit personal info now.
134,scam,deposit_request,Pay holding fee immediately.
135,scam,broken_english,You trust me.
136,scam,personal_info_harvest,Provide passport and banking info.
137,scam,no_viewing,"Viewing is not necessary, unit is ready."
138,scam,broken_english,Good chance for you.
139,scam,no_viewing,Viewing is not possible at this time.
140,scam,deposit_request,Deposit required before any viewing.
141,scam,deposit_request,Deposit required before any viewing.
142,scam,fake_company,Corporate leasing office.
143,scam,fake_company,Corporate leasing office.
144,scam,gift_card_payment,Buy Apple gift cards and send codes.
145,scam,fake_company,We are certified rental agents.
146,scam,broken_english,I owner of apartment and want rent fast.
147,scam,gift_card_payment,Steam gift card for deposit.
148,scam,deposit_request,Unit will be held only after deposit is received.
149,scam,gift_card_payment,Buy Apple gift cards and send codes.
150,scam,personal_info_harvest,Send photo of your driver license.
151,scam,no_viewing,You can move in without visiting.
152,scam,urgency_pressure,Only serious renters reply.
153,scam,unrealistic_price,2 bedroom condo only $800 all inclusive.
154,scam,no_viewing,You can move in without visiting.
155,scam,urgency_pressure,Only serious renters reply.
156,scam,gift_card_payment,Send prepaid card numbers.
157,scam,broken_english,Apartment very good and cheap.
158,scam,gift_card_payment,Steam gift card for deposit.
159,scam,gift_card_payment,Steam gift card for deposit.
160,scam,fake_company,Our company handles everything remotely.
161,scam,gift_card_payment,Buy Apple gift cards and send codes.
162,scam,gift_card_payment,Payment via gift cards only.
163,scam,personal_info_harvest,Send photo of your driver license.
164,scam,out_of_country_landlord,I moved overseas but the apartment is available.
165,scam,urgency_pressure,First come first serve.
166,scam,urgency_pressure,Last chance to secure.
167,scam,out_of_country_landlord,I moved overseas but the apartment is available.
168,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
169,scam,personal_info_harvest,Submit personal info now.
170,scam,gift_card_payment,Buy Apple gift cards and send codes.
171,scam,deposit_request,Unit will be held only after deposit is received.
172,scam,wire_transfer,Wire transfer preferred.
173,scam,wire_transfer,Pay by Western Union.
174,scam,urgency_pressure,Last chance to secure.
175,scam,no_viewing,"No need to see the place, pictures are enough."
176,scam,personal_info_harvest,Provide passport and banking info.
177,scam,out_of_country_landlord,"I am working abroad, keys will be mailed."
178,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
179,scam,no_viewing,"No need to see the place, pictures are enough."
180,scam,out_of_country_landlord,"Out of town right now, send payment to proceed."
181,scam,gift_card_payment,Steam gift card for deposit.
182,scam,personal_info_harvest,Need your full details before viewing.
183,scam,no_viewing,"Viewing is not necessary, unit is ready."
184,scam,no_viewing,Viewing is not possible at this time.
185,scam,unrealistic_price,Luxury condo downtown for $700/month.
186,scam,no_viewing,"Viewing is not necessary, unit is ready."
187,scam,out_of_country_landlord,I moved overseas but the apartment is available.
188,scam,no_viewing,You can move in without visiting.
189,scam,gift_card_payment,Amazon gift card accepted.
190,scam,fake_company,Our company handles everything remotely.
191,scam,out_of_country_landlord,"Out of town right now, send payment to proceed."
192,scam,gift_card_payment,Steam gift card for deposit.
193,scam,gift_card_payment,Steam gift card for deposit.
194,scam,personal_info_harvest,Send photo of your driver license.
195,scam,no_viewing,"No need to see the place, pictures are enough."
196,scam,fake_company,Our company handles everything remotely.
197,scam,unrealistic_price,Cheap rent because I want quick tenant.
198,scam,urgency_pressure,Last chance to secure.
199,scam,fake_company,Our company handles everything remotely.
200,scam,personal_info_harvest,Need your full details before viewing.
201,scam,fake_company,Corporate leasing office.
202,scam,wire_transfer,Pay by Western Union.
203,scam,broken_english,You trust me.
204,scam,fake_company,Third-party escrow company involved.
205,scam,broken_english,Good chance for you.
206,scam,unrealistic_price,Very low price if you act today.
207,scam,broken_english,Apartment very good and cheap.
208,scam,urgency_pressure,First come first serve.
209,scam,no_viewing,"Trust the photos, no tour required."
210,scam,broken_english,Apartment very good and cheap.
211,scam,no_viewing,You can move in without visiting.
212,scam,fake_company,Our company handles everything remotely.
213,scam,broken_english,Apartment very good and cheap.
214,scam,personal_info_harvest,Send copy of ID and SIN.
215,scam,broken_english,Apartment very good and cheap.
216,scam,unrealistic_price,Very low price if you act today.
217,scam,gift_card_payment,Steam gift card for deposit.
218,scam,personal_info_harvest,Submit personal info now.
219,scam,fake_company,Corporate leasing office.
220,scam,deposit_request,Unit will be held only after deposit is received.
221,scam,fake_company,Corporate leasing office.
222,scam,deposit_request,Send first and last month now to lock it.
223,scam,personal_info_harvest,Provide passport and banking info.
224,scam,broken_english,I owner of apartment and want rent fast.
225,scam,no_viewing,"No need to see the place, pictures are enough."
226,scam,unrealistic_price,Luxury condo downtown for $700/month.
227,scam,fake_company,Our company handles everything remotely.
228,scam,deposit_request,Send first and last month now to lock it.
229,scam,personal_info_harvest,Submit personal info now.
230,scam,wire_transfer,Pay by Western Union.
231,scam,broken_english,Apartment very good and cheap.
232,scam,broken_english,Good chance for you.
233,scam,unrealistic_price,Luxury condo downtown for $700/month.
234,scam,broken_english,I owner of apartment and want rent fast.
235,scam,no_viewing,You can move in without visiting.
236,scam,urgency_pressure,"Many people interested, act fast."
237,scam,fake_company,We are certified rental agents.
238,scam,no_viewing,"Trust the photos, no tour required."
239,scam,deposit_request,Unit will be held only after deposit is received.
240,scam,fake_company,We are certified rental agents.
241,scam,broken_english,Good chance for you.
242,scam,deposit_request,Deposit required before any viewing.
243,scam,urgency_pressure,Last chance to secure.
244,scam,unrealistic_price,Cheap rent because I want quick tenant.
245,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
246,scam,fake_company,We represent the landlord.
247,scam,wire_transfer,Pay by Western Union.
248,scam,urgency_pressure,Only serious renters reply.
249,scam,broken_english,You trust me.
250,scam,urgency_pressure,"Many people interested, act fast."
251,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
252,scam,fake_company,We are certified rental agents.
253,scam,fake_company,Our company handles everything remotely.
254,scam,fake_company,Our company handles everything remotely.
255,scam,urgency_pressure,"Many people interested, act fast."
256,scam,broken_english,Apartment very good and cheap.
257,scam,fake_company,We are certified rental agents.
258,scam,urgency_pressure,This will be gone today.
259,scam,fake_company,We represent the landlord.
260,scam,urgency_pressure,First come first serve.
261,scam,broken_english,Good chance for you.
262,scam,fake_company,Corporate leasing office.
263,scam,broken_english,Apartment very good and cheap.
264,scam,wire_transfer,Pay by Western Union.
265,scam,wire_transfer,Pay by Western Union.
266,scam,broken_english,I owner of apartment and want rent fast.
267,scam,unrealistic_price,Very low price if you act today.
268,scam,no_viewing,"Viewing is not necessary, unit is ready."
269,scam,deposit_request,Pay holding fee immediately.
270,scam,wire_transfer,Wire transfer preferred.
271,scam,deposit_request,Deposit required before any viewing.
272,scam,urgency_pressure,First come first serve.
273,scam,gift_card_payment,Steam gift card for deposit.
274,scam,fake_company,We represent the landlord.
275,scam,unrealistic_price,2 bedroom condo only $800 all inclusive.
276,scam,no_viewing,"Trust the photos, no tour required."
277,scam,fake_company,Third-party escrow company involved.
278,scam,fake_company,Third-party escrow company involved.
279,scam,personal_info_harvest,Send photo of your driver license.
280,scam,personal_info_harvest,Need your full details before viewing.
281,scam,urgency_pressure,This will be gone today.
282,scam,fake_company,Third-party escrow company involved.
283,scam,deposit_request,Unit will be held only after deposit is received.
284,scam,gift_card_payment,Amazon gift card accepted.
285,scam,wire_transfer,International transfer accepted.
286,scam,gift_card_payment,Payment via gift cards only.
287,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
288,scam,deposit_request,Please send the deposit today to secure the apartment.
289,scam,gift_card_payment,Send prepaid card numbers.
290,scam,no_viewing,"Trust the photos, no tour required."
291,scam,deposit_request,Pay holding fee immediately.
292,scam,gift_card_payment,Send prepaid card numbers.
293,scam,wire_transfer,Crypto payment accepted.
294,scam,urgency_pressure,Last chance to secure.
295,scam,gift_card_payment,Buy Apple gift cards and send codes.
296,scam,personal_info_harvest,Provide passport and banking info.
297,scam,no_viewing,You can move in without visiting.
298,scam,deposit_request,Pay holding fee immediately.
299,scam,unrealistic_price,Luxury condo downtown for $700/month.
300,scam,wire_transfer,Pay by Western Union.
301,scam,deposit_request,Send first and last month now to lock it.
302,scam,broken_english,You trust me.
303,scam,deposit_request,Pay holding fee immediately.
304,scam,fake_company,Third-party escrow company involved.
305,scam,gift_card_payment,Steam gift card for deposit.
306,scam,out_of_country_landlord,"Out of town right now, send payment to proceed."
307,scam,wire_transfer,Wire transfer preferred.
308,scam,personal_info_harvest,Send photo of your driver license.
309,scam,deposit_request,Send first and last month now to lock it.
310,scam,deposit_request,Pay holding fee immediately.
311,scam,wire_transfer,Send money by MoneyGram.
312,scam,deposit_request,Pay holding fee immediately.
313,scam,urgency_pressure,This will be gone today.
314,scam,wire_transfer,Pay by Western Union.
315,scam,unrealistic_price,2 bedroom condo only $800 all inclusive.
316,scam,out_of_country_landlord,I moved overseas but the apartment is available.
317,scam,no_viewing,"Viewing is not necessary, unit is ready."
318,scam,broken_english,You trust me.
319,scam,fake_company,Third-party escrow company involved.
320,scam,deposit_request,Pay holding fee immediately.
321,scam,fake_company,We are certified rental agents.
322,scam,fake_company,We are certified rental agents.
323,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
324,scam,deposit_request,Unit will be held only after deposit is received.
325,scam,wire_transfer,Send money by MoneyGram.
326,scam,wire_transfer,Wire transfer preferred.
327,scam,no_viewing,You can move in without visiting.
328,scam,wire_transfer,Wire transfer preferred.
329,scam,wire_transfer,Crypto payment accepted.
330,scam,gift_card_payment,Buy Apple gift cards and send codes.
331,scam,no_viewing,"No need to see the place, pictures are enough."
332,scam,gift_card_payment,Buy Apple gift cards and send codes.
333,scam,fake_company,Our company handles everything remotely.
334,scam,wire_transfer,Pay by Western Union.
335,scam,out_of_country_landlord,"I am working abroad, keys will be mailed."
336,scam,unrealistic_price,Very low price if you act today.
337,scam,unrealistic_price,Below market price for fast deal.
338,scam,broken_english,Apartment very good and cheap.
339,scam,deposit_request,Unit will be held only after deposit is received.
340,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
341,scam,unrealistic_price,Very low price if you act today.
342,scam,fake_company,We represent the landlord.
343,scam,deposit_request,Pay holding fee immediately.
344,scam,urgency_pressure,Last chance to secure.
345,scam,gift_card_payment,Send prepaid card numbers.
346,scam,personal_info_harvest,Need your full details before viewing.
347,scam,gift_card_payment,Payment via gift cards only.
348,scam,urgency_pressure,"Many people interested, act fast."
349,scam,urgency_pressure,First come first serve.
350,scam,no_viewing,"Viewing is not necessary, unit is ready."
351,scam,wire_transfer,International transfer accepted.
352,scam,deposit_request,Send first and last month now to lock it.
353,scam,urgency_pressure,Only serious renters reply.
354,scam,urgency_pressure,Last chance to secure.
355,scam,wire_transfer,Wire transfer preferred.
356,scam,broken_english,Apartment very good and cheap.
357,scam,no_viewing,"Trust the photos, no tour required."
358,scam,personal_info_harvest,Need your full details before viewing.
359,scam,no_viewing,"No need to see the place, pictures are enough."
360,scam,personal_info_harvest,Need your full details before viewing.
361,scam,wire_transfer,Pay by Western Union.
362,scam,wire_transfer,Crypto payment accepted.
363,scam,out_of_country_landlord,"I am working abroad, keys will be mailed."
364,scam,out_of_country_landlord,"Currently traveling, but you can reserve it."
365,scam,unrealistic_price,Below market price for fast deal.
366,scam,out_of_country_landlord,"Out of town right now, send payment to proceed."
367,scam,wire_transfer,Pay by Western Union.
368,scam,gift_card_payment,Send prepaid card numbers.
369,scam,urgency_pressure,First come first serve.
370,scam,personal_info_harvest,Submit personal info now.
371,scam,broken_english,I owner of apartment and want rent fast.
372,scam,unrealistic_price,2 bedroom condo only $800 all inclusive.
373,scam,deposit_request,Send first and last month now to lock it.
374,scam,unrealistic_price,Very low price if you act today.
375,scam,personal_info_harvest,Send photo of your driver license.
376,scam,urgency_pressure,Last chance to secure.
377,scam,personal_info_harvest,Need your full details before viewing.
378,scam,fake_company,Our company handles everything remotely.
379,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
380,scam,broken_english,Apartment very good and cheap.
381,scam,unrealistic_price,Very low price if you act today.
382,scam,urgency_pressure,Only serious renters reply.
383,scam,unrealistic_price,Luxury condo downtown for $700/month.
384,scam,unrealistic_price,2 bedroom condo only $800 all inclusive.
385,scam,wire_transfer,International transfer accepted.
386,scam,urgency_pressure,First come first serve.
387,scam,personal_info_harvest,Submit personal info now.
388,scam,fake_company,Third-party escrow company involved.
389,scam,gift_card_payment,Buy Apple gift cards and send codes.
390,scam,broken_english,Good chance for you.
391,scam,fake_company,We are certified rental agents.
392,scam,out_of_country_landlord,I moved overseas but the apartment is available.
393,scam,personal_info_harvest,Submit personal info now.
394,scam,urgency_pressure,This will be gone today.
395,scam,no_viewing,"Viewing is not necessary, unit is ready."
396,scam,personal_info_harvest,Provide passport and banking info.
397,scam,urgency_pressure,First come first serve.
398,scam,gift_card_payment,Amazon gift card accepted.
399,scam,fake_company,Corporate leasing office.
400,scam,no_viewing,"No need to see the place, pictures are enough."
401,scam,fake_company,Corporate leasing office.
402,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
403,scam,fake_company,We are certified rental agents.
404,scam,no_viewing,"Viewing is not necessary, unit is ready."
405,scam,unrealistic_price,2 bedroom condo only $800 all inclusive.
406,scam,no_viewing,"No need to see the place, pictures are enough."
407,scam,deposit_request,Pay holding fee immediately.
408,scam,out_of_country_landlord,"Out of town right now, send payment to proceed."
409,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
410,scam,urgency_pressure,This will be gone today.
411,scam,urgency_pressure,First come first serve.
412,scam,personal_info_harvest,Send copy of ID and SIN.
413,scam,personal_info_harvest,Need your full details before viewing.
414,scam,out_of_country_landlord,I moved overseas but the apartment is available.
415,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
416,scam,broken_english,Apartment very good and cheap.
417,scam,unrealistic_price,Luxury condo downtown for $700/month.
418,scam,broken_english,Apartment very good and cheap.
419,scam,fake_company,Our company handles everything remotely.
420,scam,gift_card_payment,Payment via gift cards only.
421,scam,no_viewing,Viewing is not possible at this time.
422,scam,unrealistic_price,Below market price for fast deal.
423,scam,urgency_pressure,This will be gone today.
424,scam,no_viewing,You can move in without visiting.
425,scam,gift_card_payment,Amazon gift card accepted.
426,scam,broken_english,Apartment very good and cheap.
427,scam,unrealistic_price,Very low price if you act today.
428,scam,no_viewing,Viewing is not possible at this time.
429,scam,unrealistic_price,2 bedroom condo only $800 all inclusive.
430,scam,fake_company,We represent the landlord.
431,scam,unrealistic_price,2 bedroom condo only $800 all inclusive.
432,scam,unrealistic_price,Cheap rent because I want quick tenant.
433,scam,deposit_request,Unit will be held only after deposit is received.
434,scam,personal_info_harvest,Submit personal info now.
435,scam,fake_company,Third-party escrow company involved.
436,scam,wire_transfer,Crypto payment accepted.
437,scam,fake_company,Our company handles everything remotely.
438,scam,broken_english,I owner of apartment and want rent fast.
439,scam,urgency_pressure,Last chance to secure.
440,scam,personal_info_harvest,Send copy of ID and SIN.
441,scam,urgency_pressure,"Many people interested, act fast."
442,scam,deposit_request,Pay holding fee immediately.
443,scam,fake_company,Our company handles everything remotely.
444,scam,urgency_pressure,"Many people interested, act fast."
445,scam,broken_english,Apartment very good and cheap.
446,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
447,scam,unrealistic_price,Cheap rent because I want quick tenant.
448,scam,unrealistic_price,Cheap rent because I want quick tenant.
449,scam,out_of_country_landlord,"Out of town right now, send payment to proceed."
450,scam,deposit_request,Send first and last month now to lock it.
451,scam,deposit_request,Unit will be held only after deposit is received.
452,scam,out_of_country_landlord,"Currently traveling, but you can reserve it."
453,scam,personal_info_harvest,Send photo of your driver license.
454,scam,no_viewing,"Viewing is not necessary, unit is ready."
455,scam,fake_company,Corporate leasing office.
456,scam,no_viewing,"Viewing is not necessary, unit is ready."
457,scam,fake_company,We represent the landlord.
458,scam,deposit_request,Deposit required before any viewing.
459,scam,urgency_pressure,Only serious renters reply.
460,scam,urgency_pressure,"Many people interested, act fast."
461,scam,deposit_request,Please send the deposit today to secure the apartment.
462,scam,wire_transfer,Crypto payment accepted.
463,scam,gift_card_payment,Payment via gift cards only.
464,scam,out_of_country_landlord,I moved overseas but the apartment is available.
465,scam,urgency_pressure,"Many people interested, act fast."
466,scam,broken_english,You send money and get key later.
467,scam,broken_english,You send money and get key later.
468,scam,urgency_pressure,Last chance to secure.
469,scam,deposit_request,Deposit required before any viewing.
470,scam,gift_card_payment,Amazon gift card accepted.
471,scam,deposit_request,Deposit required before any viewing.
472,scam,no_viewing,You can move in without visiting.
473,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
474,scam,fake_company,We are certified rental agents.
475,scam,personal_info_harvest,Provide passport and banking info.
476,scam,urgency_pressure,Only serious renters reply.
477,scam,out_of_country_landlord,"Out of town right now, send payment to proceed."
478,scam,deposit_request,Please send the deposit today to secure the apartment.
479,scam,wire_transfer,Wire transfer preferred.
480,scam,unrealistic_price,Below market price for fast deal.
481,scam,urgency_pressure,First come first serve.
482,scam,gift_card_payment,Amazon gift card accepted.
483,scam,personal_info_harvest,Submit personal info now.
484,scam,gift_card_payment,Payment via gift cards only.
485,scam,deposit_request,Please send the deposit today to secure the apartment.
486,scam,fake_company,We are certified rental agents.
487,scam,wire_transfer,Pay by Western Union.
488,scam,fake_company,Third-party escrow company involved.
489,scam,broken_english,You trust me.
490,scam,fake_company,Corporate leasing office.
491,scam,fake_company,Our company handles everything remotely.
492,scam,gift_card_payment,Send prepaid card numbers.
493,scam,urgency_pressure,This will be gone today.
494,scam,out_of_country_landlord,"Currently traveling, but you can reserve it."
495,scam,wire_transfer,International transfer accepted.
496,scam,no_viewing,"Viewing is not necessary, unit is ready."
497,scam,wire_transfer,International transfer accepted.
498,scam,gift_card_payment,Buy Apple gift cards and send codes.
499,scam,broken_english,You send money and get key later.
500,scam,deposit_request,Unit will be held only after deposit is received.
501,scam,urgency_pressure,"Many people interested, act fast."
502,scam,no_viewing,You can move in without visiting.
503,scam,wire_transfer,Pay by Western Union.
504,scam,unrealistic_price,Cheap rent because I want quick tenant.
505,scam,no_viewing,You can move in without visiting.
506,scam,broken_english,Good chance for you.
507,scam,unrealistic_price,Very low price if you act today.
508,scam,deposit_request,Deposit required before any viewing.
509,scam,deposit_request,Please send the deposit today to secure the apartment.
510,scam,broken_english,You send money and get key later.
511,scam,out_of_country_landlord,"Currently traveling, but you can reserve it."
512,scam,urgency_pressure,This will be gone today.
513,scam,urgency_pressure,"Many people interested, act fast."
514,scam,broken_english,Good chance for you.
515,scam,broken_english,You trust me.
516,scam,deposit_request,Deposit required before any viewing.
517,scam,broken_english,Apartment very good and cheap.
518,scam,wire_transfer,Pay by Western Union.
519,scam,fake_company,Corporate leasing office.
520,scam,urgency_pressure,Last chance to secure.
521,scam,personal_info_harvest,Send photo of your driver license.
522,scam,personal_info_harvest,Send copy of ID and SIN.
523,scam,urgency_pressure,"Many people interested, act fast."
524,scam,broken_english,Apartment very good and cheap.
525,scam,gift_card_payment,Payment via gift cards only.
526,scam,unrealistic_price,Luxury condo downtown for $700/month.
527,scam,wire_transfer,Crypto payment accepted.
528,scam,wire_transfer,Crypto payment accepted.
529,scam,wire_transfer,Pay by Western Union.
530,scam,urgency_pressure,Only serious renters reply.
531,scam,deposit_request,Send first and last month now to lock it.
532,scam,deposit_request,Send first and last month now to lock it.
533,scam,gift_card_payment,Payment via gift cards only.
534,scam,wire_transfer,Send money by MoneyGram.
535,scam,gift_card_payment,Buy Apple gift cards and send codes.
536,scam,broken_english,You send money and get key later.
537,scam,deposit_request,Pay holding fee immediately.
538,scam,no_viewing,Viewing is not possible at this time.
539,scam,broken_english,Apartment very good and cheap.
540,scam,wire_transfer,Send money by MoneyGram.
541,scam,personal_info_harvest,Send photo of your driver license.
542,scam,wire_transfer,Pay by Western Union.
543,scam,urgency_pressure,Last chance to secure.
544,scam,urgency_pressure,Last chance to secure.
545,scam,deposit_request,Please send the deposit today to secure the apartment.
546,scam,wire_transfer,Send money by MoneyGram.
547,scam,fake_company,Our company handles everything remotely.
548,scam,out_of_country_landlord,I moved overseas but the apartment is available.
549,scam,no_viewing,"Viewing is not necessary, unit is ready."
550,scam,wire_transfer,Wire transfer preferred.
551,scam,broken_english,You trust me.
552,scam,fake_company,Corporate leasing office.
553,scam,gift_card_payment,Payment via gift cards only.
554,scam,broken_english,You send money and get key later.
555,scam,deposit_request,Pay holding fee immediately.
556,scam,personal_info_harvest,Submit personal info now.
557,scam,out_of_country_landlord,"Currently traveling, but you can reserve it."
558,scam,urgency_pressure,"Many people interested, act fast."
559,scam,out_of_country_landlord,"I am currently outside Canada, so I cannot show the unit."
560,scam,broken_english,I owner of apartment and want rent fast.
561,scam,personal_info_harvest,Submit personal info now.
562,scam,fake_company,We represent the landlord.
563,scam,personal_info_harvest,Need your full details before viewing.
564,scam,wire_transfer,International transfer accepted.
565,scam,wire_transfer,Send money by MoneyGram.
566,scam,deposit_request,Send first and last month now to lock it.
567,scam,broken_english,You send money and get key later.
568,scam,deposit_request,Please send the deposit today to secure the apartment.
569,scam,fake_company,Corporate leasing office.
570,scam,personal_info_harvest,Need your full details before viewing.
571,scam,unrealistic_price,Very low price if you act today.
572,scam,personal_info_harvest,Provide passport and banking info.
573,scam,deposit_request,Deposit required before any viewing.
